"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.BulkData.Enable,0,xsd:boolean,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.EncodingTypes,,xsd:string,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.MaxNumberOfParameterReferences,0,xsd:int,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.MaxNumberOfProfiles,0,xsd:int,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.MinReportingInterval,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.ProfileNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.Protocols,,xsd:string,"2025-12-03 14:45:29"
InternetGatewayDevice.BulkData.Status,,xsd:string,"2025-12-03 14:45:29"
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,HTTP,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,HTTP,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,UnitSerialNumber=422207035302,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,19.07-SNAPSHOT,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.Description,"OpenWrt 19.07-SNAPSHOT r12.2_00008.0",xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.DeviceCategory,GigaSpire,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.DeviceLog,,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.EnabledOptions,,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.HardwareVersion,3000286516,xsd:string,"2025-12-03 16:12:01"
InternetGatewayDevice.DeviceInfo.Manufacturer,Calix,xsd:string,"2025-12-03 15:08:29"
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,f885f9,xsd:string,"2025-12-03 15:08:29"
InternetGatewayDevice.DeviceInfo.MemoryStatus.Free,464696,xsd:unsignedInt,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.MemoryStatus.Total,896004,xsd:unsignedInt,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.ModelName,GS4220E,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.ModelNumber,GS4220E,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,QC1.0.0.1,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.ProcessStatus.CPUUsage,5,xsd:unsignedInt,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.ProductClass,GigaSpire,xsd:string,"2025-12-03 15:08:29"
InternetGatewayDevice.DeviceInfo.ProvisioningCode,,xsd:string,"2025-12-03 16:12:01"
InternetGatewayDevice.DeviceInfo.SerialNumber,CXNK0107FEDD,xsd:string,"2025-12-03 15:08:29"
InternetGatewayDevice.DeviceInfo.SoftwareVersion,23.4.0.1.128,xsd:string,"2025-12-03 16:12:01"
InternetGatewayDevice.DeviceInfo.SpecVersion,1.0,xsd:string,"2025-12-03 16:12:01"
InternetGatewayDevice.DeviceInfo.UpTime,583,xsd:unsignedInt,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Alias,cpe-_1,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Date,2025-12-03T13:38:53-06:00,xsd:dateTime,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Description,"No provision config file.",xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Name,calix.igd.conf,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Version,0.0.0.0,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.2.Alias,cpe-_2,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.2.Date,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.2.Description,"No provision config file.",xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.2.Name,calix.sip.conf,xsd:string,"2025-12-03 14:45:21"
InternetGatewayDevice.DeviceInfo.VendorConfigFile.2.Version,0.0.0.0,xsd:string,"2025-12-03 14:45:21"
