"Provider","OUI","Product Class","Model Name","Serial Number","UF1","UF2","UF3","UF4","WAN MAC","TR-069 IP","Public IPv4","WAN IPv4","WAN IPv6","SW Version","Subscriber Key","Customer ID","Agreement ID","CR Method","Created","Last Contact","Status"
"Hay","EC4F82","ONT","854G-1","CXNK0021EBD4","restored","GUI_PASS_2023-03","","","ec:4f:82:24:63:db","136.175.69.59","136.175.69.59","","","12.2.12.8.4","10201294_9991001668@58502.com","10201294","9991001668","HTTP","2019-07-23 12:23:24 EDT","2025-11-18 07:56:06 EST","OK"
"Hay","00236a","963168MBV_17AZZ","SR505N","00236a25793f","restored","GUI_PASS_2023-03","","","00:23:6a:25:79:44","163.182.251.40","163.182.251.40","163.182.251.40","","2.6.2.6","10202937_9991000864@58502.com","10202937","9991000864","HTTP","2019-07-29 11:18:41 EDT","2025-11-18 01:35:47 EST","OK"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abb2d4","restored","GUI_PASS_2023-03","","","3c:90:66:ab:b2:d4","45.59.96.134","45.59.96.134","45.59.96.134","","2.6.2.7","10220401_9991000514@58502.com","10220401","9991000514","HTTP","2019-07-29 16:48:22 EDT","2025-10-13 10:15:01 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066ab945d","restored","GUI_PASS_2023-03","","","3c:90:66:ab:94:63","163.182.248.105","163.182.248.105","163.182.248.105","","2.6.2.6","10226093_9991000291@58502.com","10226093","9991000291","HTTP","2019-07-29 16:48:22 EDT","2025-11-18 10:28:06 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066687f26","restored","GUI_PASS_2023-03","","","3c:90:66:68:7f:26","104.247.100.34","104.247.100.34","104.247.100.34","","2.6.2.7","10228652_9991008761@58502.com","10228652","9991008761","HTTP","2019-07-29 16:48:23 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066686e9b","restored","GUI_PASS_2023-03","","","3c:90:66:68:6e:9b","163.182.251.46","163.182.251.46","163.182.251.46","","2.6.2.7","10227472_9991000509@58502.com","10227472","9991000509","HTTP","2019-07-29 16:48:23 EDT","2025-11-18 10:38:42 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abbfb8","restored","GUI_PASS_2023-03","ProxyTest","","3c:90:66:ab:bf:bd","104.247.100.137","104.247.100.137","104.247.100.137","","2.6.2.7","10226923_9991007873@58502.com","10226923","9991007873","HTTP","2019-07-29 16:48:23 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906696a76f","restored","GUI_PASS_2023-03","","","3c:90:66:96:a7:6f","104.247.102.249","104.247.102.249","104.247.102.249","","2.6.2.7","10219092_9991002345@58502.com","10219092","9991002345","HTTP","2019-07-29 16:48:23 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066aba372","restored","GUI_PASS_2023-03","","","3c:90:66:ab:a3:78","163.182.250.12","163.182.250.12","163.182.250.12","","2.6.2.7","10227049_9991005387@58502.com","10227049","9991005387","HTTP","2019-07-29 16:48:24 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abf629","restored","GUI_PASS_2023-03","","","3c:90:66:ab:f6:29","163.182.242.124","163.182.242.124","163.182.242.124","","2.6.2.7","10227231_9991007926@58502.com","10227231","9991007926","HTTP","2019-07-29 16:48:24 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668c407","restored","GUI_PASS_2023-03","","","3c:90:66:68:c4:0f","163.182.236.27","163.182.236.27","163.182.236.27","","2.6.2.7","10202432_9991001198@58502.com","10202432","9991001198","HTTP","2019-07-29 16:48:24 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066547a18","restored","GUI_PASS_2023-03","","","3c:90:66:54:7a:18","163.182.235.3","163.182.235.3","163.182.235.3","","2.6.2.7","10227503_9991001586@58502.com","10227503","9991001586","HTTP","2019-07-29 16:48:24 EDT","2025-10-11 10:15:03 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668c0ef","restored","GUI_PASS_2023-03","","","3c:90:66:68:c0:ef","163.182.251.90","163.182.251.90","163.182.251.90","","2.6.2.7","10224091_9991005418@58502.com","10224091","9991005418","HTTP","2019-07-29 16:48:24 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906696895b","","GUI_PASS_2023-03","","","3c:90:66:96:89:61","163.182.235.241","163.182.235.241","163.182.235.241","","2.6.2.6","10212317_9991009895@58502.com","10212317","9991009895","HTTP","2019-07-29 16:48:24 EDT","2025-10-15 10:15:04 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668c41d","restored","GUI_PASS_2023-03","","","3c:90:66:68:c4:22","163.182.251.84","163.182.251.84","163.182.251.84","","2.6.2.6","10229626_9991005772@58502.com","10229626","9991005772","HTTP","2019-07-29 16:48:25 EDT","2025-10-11 10:15:03 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066969789","restored","GUI_PASS_2023-03","","","3c:90:66:96:97:89","104.247.102.116","104.247.102.116","104.247.102.116","","2.6.2.6","10226747_9991008930@58502.com","10226747","9991008930","HTTP","2019-07-29 16:48:25 EDT","2025-11-18 12:22:32 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668bcf0","restored","GUI_PASS_2023-03","","","3c:90:66:68:bc:f6","163.182.243.195","163.182.243.195","163.182.243.195","","2.6.2.7","10227430_9991002539@58502.com","10227430","9991002539","HTTP","2019-07-29 16:48:25 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906696a7b1","restored","GUI_PASS_2023-03","","","3c:90:66:96:a7:b1","163.182.250.90","163.182.250.90","163.182.250.90","","2.6.2.7","10214737_9991006184@58502.com","10214737","9991006184","HTTP","2019-07-29 16:48:25 EDT","2025-11-16 15:14:35 EST","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668ba51","restored","GUI_PASS_2023-03","","","3c:90:66:68:ba:51","163.182.243.144","163.182.243.144","163.182.243.144","","2.6.2.7","10224000_9991005275@58502.com","10224000","9991005275","HTTP","2019-07-29 16:48:26 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668bf84","restored","GUI_PASS_2023-03","","","3c:90:66:68:bf:89","163.182.235.88","163.182.235.88","163.182.235.88","","2.6.2.6","10208628_9991000692@58502.com","10208628","9991000692","HTTP","2019-07-29 16:48:26 EDT","2025-10-14 10:15:05 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906696683a","restored","GUI_PASS_2023-03","","","3c:90:66:96:68:40","136.175.68.114","136.175.68.114","136.175.68.114","","2.6.2.7","10226540_9991008649@58502.com","10226540","9991008649","HTTP","2019-07-29 16:48:26 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066688d28","restored","GUI_PASS_2023-03","","","3c:90:66:68:8d:28","104.247.103.71","104.247.103.71","104.247.103.71","","2.6.2.7","10224263_9991002964@58502.com","10224263","9991002964","HTTP","2019-07-29 16:48:27 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906668bc77","restored","GUI_PASS_2023-03","","","3c:90:66:68:bc:77","163.182.243.104","163.182.243.104","163.182.243.104","","2.6.2.7","10214738_9991001849@58502.com","10214738","9991001849","HTTP","2019-07-29 16:48:27 EDT","2025-11-18 12:04:17 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066ab950d","restored","GUI_PASS_2023-03","","","3c:90:66:ab:95:0d","163.182.233.9","163.182.233.9","163.182.233.9","","2.6.2.7","10223664_9991004505@58502.com","10223664","9991004505","HTTP","2019-07-29 16:48:27 EDT","2025-10-26 10:15:02 EDT","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abf61e","restored","GUI_PASS_2023-03","","","3c:90:66:ab:f6:1e","104.247.102.225","104.247.102.225","104.247.102.225","","2.6.2.7","10230565_9991001392@58502.com","10230565","9991001392","HTTP","2019-07-29 16:48:27 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066688296","restored","GUI_PASS_2023-03","","","3c:90:66:68:82:96","136.175.69.180","136.175.69.180","136.175.69.180","","2.6.2.7","10219172_9991007753@58502.com","10219172","9991007753","HTTP","2019-07-29 16:48:27 EDT","2025-11-18 10:15:03 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abfc22","restored","GUI_PASS_2023-03","","","3c:90:66:ab:fc:22","163.182.235.80","163.182.235.80","163.182.235.80","","2.6.2.7","10208370_9991004122@58502.com","10208370","9991004122","HTTP","2019-07-29 16:48:27 EDT","2025-11-03 08:21:46 EST","OFFLINE"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066abaeb4","restored","GUI_PASS_2023-03","","","3c:90:66:ab:ae:b9","163.182.238.159","163.182.238.159","163.182.238.159","","2.6.2.7","10227098_9991006597@58502.com","10227098","9991006597","HTTP","2019-07-29 16:48:28 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066969726","restored","GUI_PASS_2023-03","","","3c:90:66:96:97:2c","163.182.235.240","163.182.235.240","163.182.235.240","","2.6.2.7","10207753_9991004335@58502.com","10207753","9991004335","HTTP","2019-07-29 16:48:28 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066ab92e7","restored","GUI_PASS_2023-03","","","3c:90:66:ab:92:e7","23.155.129.74","23.155.129.74","23.155.129.74","","2.6.2.7","10201211_9991007645@58502.com","10201211","9991007645","HTTP","2019-07-29 16:48:28 EDT","2025-11-18 12:43:14 EST","OK"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066ab99e8","restored","GUI_PASS_2023-03","","","3c:90:66:ab:99:ee","163.182.235.202","163.182.235.202","163.182.235.202","","2.6.2.7","10227459_9991007871@58502.com","10227459","9991007871","HTTP","2019-07-29 16:48:28 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c906696990a","restored","GUI_PASS_2023-03","","","3c:90:66:96:99:10","163.182.250.98","163.182.250.98","163.182.250.98","","2.6.2.7","10226758_9991008825@58502.com","10226758","9991008825","HTTP","2019-07-29 16:48:28 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066688f64","restored","GUI_PASS_2023-03","","","3c:90:66:68:8f:64","163.182.242.223","163.182.242.223","163.182.242.223","","2.6.2.7","10222817_9991004762@58502.com","10222817","9991004762","HTTP","2019-07-29 16:48:29 EDT","2025-11-18 10:15:04 EST","ERROR"
"Hay","3c9066","963168_OT142C_B","SR515ac","3c9066ab93d9","restored","GUI_PASS_2023-03","","","3c:90:66:ab:93:d9","163.182.241.19","163.182.241.19","163.182.241.19","","2.6.2.7","10229723_9991007401@58502.com","10229723","9991007401","HTTP","2019-07-29 16:48:29 EDT","2025-11-18 12:45:23 EST","ERROR"
